"","interval","steps","hour","minute","timeStr","time"
"1",0,1.71698113207547,"00","00","00:00",2015-12-20 00:00:00
"2",5,0.339622641509434,"00","05","00:05",2015-12-20 00:05:00
"3",10,0.132075471698113,"00","10","00:10",2015-12-20 00:10:00
"4",15,0.150943396226415,"00","15","00:15",2015-12-20 00:15:00
"5",20,0.0754716981132075,"00","20","00:20",2015-12-20 00:20:00
"6",25,2.09433962264151,"00","25","00:25",2015-12-20 00:25:00
"7",30,0.528301886792453,"00","30","00:30",2015-12-20 00:30:00
"8",35,0.867924528301887,"00","35","00:35",2015-12-20 00:35:00
"9",40,0,"00","40","00:40",2015-12-20 00:40:00
"10",45,1.47169811320755,"00","45","00:45",2015-12-20 00:45:00
"11",50,0.30188679245283,"00","50","00:50",2015-12-20 00:50:00
"12",55,0.132075471698113,"00","55","00:55",2015-12-20 00:55:00
"13",100,0.320754716981132,"01","00","01:00",2015-12-20 01:00:00
"14",105,0.679245283018868,"01","05","01:05",2015-12-20 01:05:00
"15",110,0.150943396226415,"01","10","01:10",2015-12-20 01:10:00
"16",115,0.339622641509434,"01","15","01:15",2015-12-20 01:15:00
"17",120,0,"01","20","01:20",2015-12-20 01:20:00
"18",125,1.11320754716981,"01","25","01:25",2015-12-20 01:25:00
"19",130,1.83018867924528,"01","30","01:30",2015-12-20 01:30:00
"20",135,0.169811320754717,"01","35","01:35",2015-12-20 01:35:00
"21",140,0.169811320754717,"01","40","01:40",2015-12-20 01:40:00
"22",145,0.377358490566038,"01","45","01:45",2015-12-20 01:45:00
"23",150,0.264150943396226,"01","50","01:50",2015-12-20 01:50:00
"24",155,0,"01","55","01:55",2015-12-20 01:55:00
"25",200,0,"02","00","02:00",2015-12-20 02:00:00
"26",205,0,"02","05","02:05",2015-12-20 02:05:00
"27",210,1.13207547169811,"02","10","02:10",2015-12-20 02:10:00
"28",215,0,"02","15","02:15",2015-12-20 02:15:00
"29",220,0,"02","20","02:20",2015-12-20 02:20:00
"30",225,0.132075471698113,"02","25","02:25",2015-12-20 02:25:00
"31",230,0,"02","30","02:30",2015-12-20 02:30:00
"32",235,0.226415094339623,"02","35","02:35",2015-12-20 02:35:00
"33",240,0,"02","40","02:40",2015-12-20 02:40:00
"34",245,0,"02","45","02:45",2015-12-20 02:45:00
"35",250,1.54716981132075,"02","50","02:50",2015-12-20 02:50:00
"36",255,0.943396226415094,"02","55","02:55",2015-12-20 02:55:00
"37",300,0,"03","00","03:00",2015-12-20 03:00:00
"38",305,0,"03","05","03:05",2015-12-20 03:05:00
"39",310,0,"03","10","03:10",2015-12-20 03:10:00
"40",315,0,"03","15","03:15",2015-12-20 03:15:00
"41",320,0.207547169811321,"03","20","03:20",2015-12-20 03:20:00
"42",325,0.622641509433962,"03","25","03:25",2015-12-20 03:25:00
"43",330,1.62264150943396,"03","30","03:30",2015-12-20 03:30:00
"44",335,0.584905660377358,"03","35","03:35",2015-12-20 03:35:00
"45",340,0.490566037735849,"03","40","03:40",2015-12-20 03:40:00
"46",345,0.0754716981132075,"03","45","03:45",2015-12-20 03:45:00
"47",350,0,"03","50","03:50",2015-12-20 03:50:00
"48",355,0,"03","55","03:55",2015-12-20 03:55:00
"49",400,1.18867924528302,"04","00","04:00",2015-12-20 04:00:00
"50",405,0.943396226415094,"04","05","04:05",2015-12-20 04:05:00
"51",410,2.56603773584906,"04","10","04:10",2015-12-20 04:10:00
"52",415,0,"04","15","04:15",2015-12-20 04:15:00
"53",420,0.339622641509434,"04","20","04:20",2015-12-20 04:20:00
"54",425,0.358490566037736,"04","25","04:25",2015-12-20 04:25:00
"55",430,4.11320754716981,"04","30","04:30",2015-12-20 04:30:00
"56",435,0.660377358490566,"04","35","04:35",2015-12-20 04:35:00
"57",440,3.49056603773585,"04","40","04:40",2015-12-20 04:40:00
"58",445,0.830188679245283,"04","45","04:45",2015-12-20 04:45:00
"59",450,3.11320754716981,"04","50","04:50",2015-12-20 04:50:00
"60",455,1.11320754716981,"04","55","04:55",2015-12-20 04:55:00
"61",500,0,"05","00","05:00",2015-12-20 05:00:00
"62",505,1.56603773584906,"05","05","05:05",2015-12-20 05:05:00
"63",510,3,"05","10","05:10",2015-12-20 05:10:00
"64",515,2.24528301886792,"05","15","05:15",2015-12-20 05:15:00
"65",520,3.32075471698113,"05","20","05:20",2015-12-20 05:20:00
"66",525,2.9622641509434,"05","25","05:25",2015-12-20 05:25:00
"67",530,2.09433962264151,"05","30","05:30",2015-12-20 05:30:00
"68",535,6.05660377358491,"05","35","05:35",2015-12-20 05:35:00
"69",540,16.0188679245283,"05","40","05:40",2015-12-20 05:40:00
"70",545,18.3396226415094,"05","45","05:45",2015-12-20 05:45:00
"71",550,39.4528301886792,"05","50","05:50",2015-12-20 05:50:00
"72",555,44.4905660377358,"05","55","05:55",2015-12-20 05:55:00
"73",600,31.4905660377358,"06","00","06:00",2015-12-20 06:00:00
"74",605,49.2641509433962,"06","05","06:05",2015-12-20 06:05:00
"75",610,53.7735849056604,"06","10","06:10",2015-12-20 06:10:00
"76",615,63.4528301886792,"06","15","06:15",2015-12-20 06:15:00
"77",620,49.9622641509434,"06","20","06:20",2015-12-20 06:20:00
"78",625,47.0754716981132,"06","25","06:25",2015-12-20 06:25:00
"79",630,52.1509433962264,"06","30","06:30",2015-12-20 06:30:00
"80",635,39.3396226415094,"06","35","06:35",2015-12-20 06:35:00
"81",640,44.0188679245283,"06","40","06:40",2015-12-20 06:40:00
"82",645,44.1698113207547,"06","45","06:45",2015-12-20 06:45:00
"83",650,37.3584905660377,"06","50","06:50",2015-12-20 06:50:00
"84",655,49.0377358490566,"06","55","06:55",2015-12-20 06:55:00
"85",700,43.811320754717,"07","00","07:00",2015-12-20 07:00:00
"86",705,44.377358490566,"07","05","07:05",2015-12-20 07:05:00
"87",710,50.5094339622642,"07","10","07:10",2015-12-20 07:10:00
"88",715,54.5094339622642,"07","15","07:15",2015-12-20 07:15:00
"89",720,49.9245283018868,"07","20","07:20",2015-12-20 07:20:00
"90",725,50.9811320754717,"07","25","07:25",2015-12-20 07:25:00
"91",730,55.6792452830189,"07","30","07:30",2015-12-20 07:30:00
"92",735,44.3207547169811,"07","35","07:35",2015-12-20 07:35:00
"93",740,52.2641509433962,"07","40","07:40",2015-12-20 07:40:00
"94",745,69.5471698113208,"07","45","07:45",2015-12-20 07:45:00
"95",750,57.8490566037736,"07","50","07:50",2015-12-20 07:50:00
"96",755,56.1509433962264,"07","55","07:55",2015-12-20 07:55:00
"97",800,73.377358490566,"08","00","08:00",2015-12-20 08:00:00
"98",805,68.2075471698113,"08","05","08:05",2015-12-20 08:05:00
"99",810,129.433962264151,"08","10","08:10",2015-12-20 08:10:00
"100",815,157.528301886792,"08","15","08:15",2015-12-20 08:15:00
"101",820,171.150943396226,"08","20","08:20",2015-12-20 08:20:00
"102",825,155.396226415094,"08","25","08:25",2015-12-20 08:25:00
"103",830,177.301886792453,"08","30","08:30",2015-12-20 08:30:00
"104",835,206.169811320755,"08","35","08:35",2015-12-20 08:35:00
"105",840,195.924528301887,"08","40","08:40",2015-12-20 08:40:00
"106",845,179.566037735849,"08","45","08:45",2015-12-20 08:45:00
"107",850,183.396226415094,"08","50","08:50",2015-12-20 08:50:00
"108",855,167.018867924528,"08","55","08:55",2015-12-20 08:55:00
"109",900,143.452830188679,"09","00","09:00",2015-12-20 09:00:00
"110",905,124.037735849057,"09","05","09:05",2015-12-20 09:05:00
"111",910,109.11320754717,"09","10","09:10",2015-12-20 09:10:00
"112",915,108.11320754717,"09","15","09:15",2015-12-20 09:15:00
"113",920,103.716981132075,"09","20","09:20",2015-12-20 09:20:00
"114",925,95.9622641509434,"09","25","09:25",2015-12-20 09:25:00
"115",930,66.2075471698113,"09","30","09:30",2015-12-20 09:30:00
"116",935,45.2264150943396,"09","35","09:35",2015-12-20 09:35:00
"117",940,24.7924528301887,"09","40","09:40",2015-12-20 09:40:00
"118",945,38.7547169811321,"09","45","09:45",2015-12-20 09:45:00
"119",950,34.9811320754717,"09","50","09:50",2015-12-20 09:50:00
"120",955,21.0566037735849,"09","55","09:55",2015-12-20 09:55:00
"121",1000,40.5660377358491,"10","00","10:00",2015-12-20 10:00:00
"122",1005,26.9811320754717,"10","05","10:05",2015-12-20 10:05:00
"123",1010,42.4150943396226,"10","10","10:10",2015-12-20 10:10:00
"124",1015,52.6603773584906,"10","15","10:15",2015-12-20 10:15:00
"125",1020,38.9245283018868,"10","20","10:20",2015-12-20 10:20:00
"126",1025,50.7924528301887,"10","25","10:25",2015-12-20 10:25:00
"127",1030,44.2830188679245,"10","30","10:30",2015-12-20 10:30:00
"128",1035,37.4150943396226,"10","35","10:35",2015-12-20 10:35:00
"129",1040,34.6981132075472,"10","40","10:40",2015-12-20 10:40:00
"130",1045,28.3396226415094,"10","45","10:45",2015-12-20 10:45:00
"131",1050,25.0943396226415,"10","50","10:50",2015-12-20 10:50:00
"132",1055,31.9433962264151,"10","55","10:55",2015-12-20 10:55:00
"133",1100,31.3584905660377,"11","00","11:00",2015-12-20 11:00:00
"134",1105,29.6792452830189,"11","05","11:05",2015-12-20 11:05:00
"135",1110,21.3207547169811,"11","10","11:10",2015-12-20 11:10:00
"136",1115,25.5471698113208,"11","15","11:15",2015-12-20 11:15:00
"137",1120,28.377358490566,"11","20","11:20",2015-12-20 11:20:00
"138",1125,26.4716981132075,"11","25","11:25",2015-12-20 11:25:00
"139",1130,33.4339622641509,"11","30","11:30",2015-12-20 11:30:00
"140",1135,49.9811320754717,"11","35","11:35",2015-12-20 11:35:00
"141",1140,42.0377358490566,"11","40","11:40",2015-12-20 11:40:00
"142",1145,44.6037735849057,"11","45","11:45",2015-12-20 11:45:00
"143",1150,46.0377358490566,"11","50","11:50",2015-12-20 11:50:00
"144",1155,59.188679245283,"11","55","11:55",2015-12-20 11:55:00
"145",1200,63.8679245283019,"12","00","12:00",2015-12-20 12:00:00
"146",1205,87.6981132075472,"12","05","12:05",2015-12-20 12:05:00
"147",1210,94.8490566037736,"12","10","12:10",2015-12-20 12:10:00
"148",1215,92.7735849056604,"12","15","12:15",2015-12-20 12:15:00
"149",1220,63.3962264150943,"12","20","12:20",2015-12-20 12:20:00
"150",1225,50.1698113207547,"12","25","12:25",2015-12-20 12:25:00
"151",1230,54.4716981132075,"12","30","12:30",2015-12-20 12:30:00
"152",1235,32.4150943396226,"12","35","12:35",2015-12-20 12:35:00
"153",1240,26.5283018867925,"12","40","12:40",2015-12-20 12:40:00
"154",1245,37.7358490566038,"12","45","12:45",2015-12-20 12:45:00
"155",1250,45.0566037735849,"12","50","12:50",2015-12-20 12:50:00
"156",1255,67.2830188679245,"12","55","12:55",2015-12-20 12:55:00
"157",1300,42.3396226415094,"13","00","13:00",2015-12-20 13:00:00
"158",1305,39.8867924528302,"13","05","13:05",2015-12-20 13:05:00
"159",1310,43.2641509433962,"13","10","13:10",2015-12-20 13:10:00
"160",1315,40.9811320754717,"13","15","13:15",2015-12-20 13:15:00
"161",1320,46.2452830188679,"13","20","13:20",2015-12-20 13:20:00
"162",1325,56.4339622641509,"13","25","13:25",2015-12-20 13:25:00
"163",1330,42.7547169811321,"13","30","13:30",2015-12-20 13:30:00
"164",1335,25.1320754716981,"13","35","13:35",2015-12-20 13:35:00
"165",1340,39.9622641509434,"13","40","13:40",2015-12-20 13:40:00
"166",1345,53.5471698113208,"13","45","13:45",2015-12-20 13:45:00
"167",1350,47.3207547169811,"13","50","13:50",2015-12-20 13:50:00
"168",1355,60.811320754717,"13","55","13:55",2015-12-20 13:55:00
"169",1400,55.7547169811321,"14","00","14:00",2015-12-20 14:00:00
"170",1405,51.9622641509434,"14","05","14:05",2015-12-20 14:05:00
"171",1410,43.5849056603774,"14","10","14:10",2015-12-20 14:10:00
"172",1415,48.6981132075472,"14","15","14:15",2015-12-20 14:15:00
"173",1420,35.4716981132075,"14","20","14:20",2015-12-20 14:20:00
"174",1425,37.5471698113208,"14","25","14:25",2015-12-20 14:25:00
"175",1430,41.8490566037736,"14","30","14:30",2015-12-20 14:30:00
"176",1435,27.5094339622642,"14","35","14:35",2015-12-20 14:35:00
"177",1440,17.1132075471698,"14","40","14:40",2015-12-20 14:40:00
"178",1445,26.0754716981132,"14","45","14:45",2015-12-20 14:45:00
"179",1450,43.622641509434,"14","50","14:50",2015-12-20 14:50:00
"180",1455,43.7735849056604,"14","55","14:55",2015-12-20 14:55:00
"181",1500,30.0188679245283,"15","00","15:00",2015-12-20 15:00:00
"182",1505,36.0754716981132,"15","05","15:05",2015-12-20 15:05:00
"183",1510,35.4905660377358,"15","10","15:10",2015-12-20 15:10:00
"184",1515,38.8490566037736,"15","15","15:15",2015-12-20 15:15:00
"185",1520,45.9622641509434,"15","20","15:20",2015-12-20 15:20:00
"186",1525,47.7547169811321,"15","25","15:25",2015-12-20 15:25:00
"187",1530,48.1320754716981,"15","30","15:30",2015-12-20 15:30:00
"188",1535,65.3207547169811,"15","35","15:35",2015-12-20 15:35:00
"189",1540,82.9056603773585,"15","40","15:40",2015-12-20 15:40:00
"190",1545,98.6603773584906,"15","45","15:45",2015-12-20 15:45:00
"191",1550,102.11320754717,"15","50","15:50",2015-12-20 15:50:00
"192",1555,83.9622641509434,"15","55","15:55",2015-12-20 15:55:00
"193",1600,62.1320754716981,"16","00","16:00",2015-12-20 16:00:00
"194",1605,64.1320754716981,"16","05","16:05",2015-12-20 16:05:00
"195",1610,74.5471698113208,"16","10","16:10",2015-12-20 16:10:00
"196",1615,63.1698113207547,"16","15","16:15",2015-12-20 16:15:00
"197",1620,56.9056603773585,"16","20","16:20",2015-12-20 16:20:00
"198",1625,59.7735849056604,"16","25","16:25",2015-12-20 16:25:00
"199",1630,43.8679245283019,"16","30","16:30",2015-12-20 16:30:00
"200",1635,38.5660377358491,"16","35","16:35",2015-12-20 16:35:00
"201",1640,44.6603773584906,"16","40","16:40",2015-12-20 16:40:00
"202",1645,45.4528301886792,"16","45","16:45",2015-12-20 16:45:00
"203",1650,46.2075471698113,"16","50","16:50",2015-12-20 16:50:00
"204",1655,43.6792452830189,"16","55","16:55",2015-12-20 16:55:00
"205",1700,46.622641509434,"17","00","17:00",2015-12-20 17:00:00
"206",1705,56.3018867924528,"17","05","17:05",2015-12-20 17:05:00
"207",1710,50.7169811320755,"17","10","17:10",2015-12-20 17:10:00
"208",1715,61.2264150943396,"17","15","17:15",2015-12-20 17:15:00
"209",1720,72.7169811320755,"17","20","17:20",2015-12-20 17:20:00
"210",1725,78.9433962264151,"17","25","17:25",2015-12-20 17:25:00
"211",1730,68.9433962264151,"17","30","17:30",2015-12-20 17:30:00
"212",1735,59.6603773584906,"17","35","17:35",2015-12-20 17:35:00
"213",1740,75.0943396226415,"17","40","17:40",2015-12-20 17:40:00
"214",1745,56.5094339622642,"17","45","17:45",2015-12-20 17:45:00
"215",1750,34.7735849056604,"17","50","17:50",2015-12-20 17:50:00
"216",1755,37.4528301886792,"17","55","17:55",2015-12-20 17:55:00
"217",1800,40.6792452830189,"18","00","18:00",2015-12-20 18:00:00
"218",1805,58.0188679245283,"18","05","18:05",2015-12-20 18:05:00
"219",1810,74.6981132075472,"18","10","18:10",2015-12-20 18:10:00
"220",1815,85.3207547169811,"18","15","18:15",2015-12-20 18:15:00
"221",1820,59.2641509433962,"18","20","18:20",2015-12-20 18:20:00
"222",1825,67.7735849056604,"18","25","18:25",2015-12-20 18:25:00
"223",1830,77.6981132075472,"18","30","18:30",2015-12-20 18:30:00
"224",1835,74.2452830188679,"18","35","18:35",2015-12-20 18:35:00
"225",1840,85.3396226415094,"18","40","18:40",2015-12-20 18:40:00
"226",1845,99.4528301886792,"18","45","18:45",2015-12-20 18:45:00
"227",1850,86.5849056603774,"18","50","18:50",2015-12-20 18:50:00
"228",1855,85.6037735849057,"18","55","18:55",2015-12-20 18:55:00
"229",1900,84.8679245283019,"19","00","19:00",2015-12-20 19:00:00
"230",1905,77.8301886792453,"19","05","19:05",2015-12-20 19:05:00
"231",1910,58.0377358490566,"19","10","19:10",2015-12-20 19:10:00
"232",1915,53.3584905660377,"19","15","19:15",2015-12-20 19:15:00
"233",1920,36.3207547169811,"19","20","19:20",2015-12-20 19:20:00
"234",1925,20.7169811320755,"19","25","19:25",2015-12-20 19:25:00
"235",1930,27.3962264150943,"19","30","19:30",2015-12-20 19:30:00
"236",1935,40.0188679245283,"19","35","19:35",2015-12-20 19:35:00
"237",1940,30.2075471698113,"19","40","19:40",2015-12-20 19:40:00
"238",1945,25.5471698113208,"19","45","19:45",2015-12-20 19:45:00
"239",1950,45.6603773584906,"19","50","19:50",2015-12-20 19:50:00
"240",1955,33.5283018867925,"19","55","19:55",2015-12-20 19:55:00
"241",2000,19.622641509434,"20","00","20:00",2015-12-20 20:00:00
"242",2005,19.0188679245283,"20","05","20:05",2015-12-20 20:05:00
"243",2010,19.3396226415094,"20","10","20:10",2015-12-20 20:10:00
"244",2015,33.3396226415094,"20","15","20:15",2015-12-20 20:15:00
"245",2020,26.811320754717,"20","20","20:20",2015-12-20 20:20:00
"246",2025,21.1698113207547,"20","25","20:25",2015-12-20 20:25:00
"247",2030,27.3018867924528,"20","30","20:30",2015-12-20 20:30:00
"248",2035,21.3396226415094,"20","35","20:35",2015-12-20 20:35:00
"249",2040,19.5471698113208,"20","40","20:40",2015-12-20 20:40:00
"250",2045,21.3207547169811,"20","45","20:45",2015-12-20 20:45:00
"251",2050,32.3018867924528,"20","50","20:50",2015-12-20 20:50:00
"252",2055,20.1509433962264,"20","55","20:55",2015-12-20 20:55:00
"253",2100,15.9433962264151,"21","00","21:00",2015-12-20 21:00:00
"254",2105,17.2264150943396,"21","05","21:05",2015-12-20 21:05:00
"255",2110,23.4528301886792,"21","10","21:10",2015-12-20 21:10:00
"256",2115,19.2452830188679,"21","15","21:15",2015-12-20 21:15:00
"257",2120,12.4528301886792,"21","20","21:20",2015-12-20 21:20:00
"258",2125,8.0188679245283,"21","25","21:25",2015-12-20 21:25:00
"259",2130,14.6603773584906,"21","30","21:30",2015-12-20 21:30:00
"260",2135,16.3018867924528,"21","35","21:35",2015-12-20 21:35:00
"261",2140,8.67924528301887,"21","40","21:40",2015-12-20 21:40:00
"262",2145,7.79245283018868,"21","45","21:45",2015-12-20 21:45:00
"263",2150,8.13207547169811,"21","50","21:50",2015-12-20 21:50:00
"264",2155,2.62264150943396,"21","55","21:55",2015-12-20 21:55:00
"265",2200,1.45283018867925,"22","00","22:00",2015-12-20 22:00:00
"266",2205,3.67924528301887,"22","05","22:05",2015-12-20 22:05:00
"267",2210,4.81132075471698,"22","10","22:10",2015-12-20 22:10:00
"268",2215,8.50943396226415,"22","15","22:15",2015-12-20 22:15:00
"269",2220,7.07547169811321,"22","20","22:20",2015-12-20 22:20:00
"270",2225,8.69811320754717,"22","25","22:25",2015-12-20 22:25:00
"271",2230,9.75471698113208,"22","30","22:30",2015-12-20 22:30:00
"272",2235,2.20754716981132,"22","35","22:35",2015-12-20 22:35:00
"273",2240,0.320754716981132,"22","40","22:40",2015-12-20 22:40:00
"274",2245,0.113207547169811,"22","45","22:45",2015-12-20 22:45:00
"275",2250,1.60377358490566,"22","50","22:50",2015-12-20 22:50:00
"276",2255,4.60377358490566,"22","55","22:55",2015-12-20 22:55:00
"277",2300,3.30188679245283,"23","00","23:00",2015-12-20 23:00:00
"278",2305,2.84905660377358,"23","05","23:05",2015-12-20 23:05:00
"279",2310,0,"23","10","23:10",2015-12-20 23:10:00
"280",2315,0.830188679245283,"23","15","23:15",2015-12-20 23:15:00
"281",2320,0.962264150943396,"23","20","23:20",2015-12-20 23:20:00
"282",2325,1.58490566037736,"23","25","23:25",2015-12-20 23:25:00
"283",2330,2.60377358490566,"23","30","23:30",2015-12-20 23:30:00
"284",2335,4.69811320754717,"23","35","23:35",2015-12-20 23:35:00
"285",2340,3.30188679245283,"23","40","23:40",2015-12-20 23:40:00
"286",2345,0.641509433962264,"23","45","23:45",2015-12-20 23:45:00
"287",2350,0.226415094339623,"23","50","23:50",2015-12-20 23:50:00
"288",2355,1.07547169811321,"23","55","23:55",2015-12-20 23:55:00
